Rank,Player Name,Team,Pos,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO
2009,Alfred Worrell Jr.,USM,G,30,13,5.8,2,5.4,36.6,1.1,3.5,31.4,0.8,0.9,85.2,1.6,0.4,0.4,0.1,0.7
2010,TJ Thomas,ETAM,G,30,19.8,5.8,2.1,4.4,47.3,1,2.4,39.7,0.7,1.1,65.6,2.2,2.7,1,0.2,1.7
2011,Joseph Tugler,HOU,F,29,21.4,5.8,2.3,4.3,54,0.1,0.3,33.3,1,1.8,54.7,5.7,1,0.8,2,1
2012,Edouard Benoit,LEH,F,29,17.1,5.8,2,4.4,45.7,0.9,2.2,41.5,0.8,1.4,57.5,2.4,0.6,0.2,0.1,1
2013,Trent Johnson,HCU,F,28,27.9,5.8,2.1,4.7,44.7,0.8,2.3,36.5,0.8,0.9,80.8,4,1.6,1.3,0.8,0.9
2014,Jordan Mizell,TAR,G,28,24,5.8,1.9,4.3,44.5,0,0.2,16.7,2,2.5,79.7,3.6,2.1,1.4,0.1,1.9
2015,B. Artis White,RICH,G,23,26,5.8,2,6.2,32.9,0.9,3.7,25,0.8,1.1,69.2,2.6,1.7,1.1,0,0.8
2016,Joryam Saizonou,UNCG,G,31,22.6,5.8,2.2,5.5,39.6,0.6,2.1,30.8,0.8,1.3,64.1,2.4,2.3,0.6,0.1,1.4
2017,Abdoulaye Thiam,HPU,G,31,13.7,5.8,2.2,4.5,49.3,0.7,2,33.3,0.7,0.9,81.5,1.3,0.4,0.3,0,0.5
2018,Kyran Ratliff,UL,F,31,20,5.8,2.3,4.9,45.8,0.5,1.4,34.9,0.8,1.3,60,4,0.6,0.6,0.5,0.5
2019,Brandon McCreesh,BUCK,G,31,22.2,5.8,2,4,49.6,1,2.4,43.2,0.7,1.2,60.5,2.2,0.9,0.7,0.1,0.9
2020,Brady Shoulders,MER,G,31,25.2,5.8,2.1,5,41.7,0.9,2.9,31.5,0.7,1,65.6,6,1.2,1.3,0.1,1.1
2021,Jalen Lee,LIU,G,31,17.9,5.8,2.3,6.2,36.6,0.7,2.3,29.2,0.6,0.9,66.7,2.4,0.6,0.6,0.2,0.9
2022,Monty Bowser,NAU,F,30,19.2,5.8,2.1,4.9,42.2,1.1,2.8,38.6,0.6,0.8,73.9,2.7,0.8,0.4,0,0.9
2023,Chudi Dioramma,SAC,F,30,12.6,5.8,2.4,3.8,62.3,0,0,0,1,1.6,64.6,3.7,0.3,0.3,0.7,1.1
2024,Lucas Taylor,SYR,G,29,21.4,5.8,2,4.6,43.9,0.9,2.4,36.6,0.9,1,83.3,2.3,0.7,0.6,0.2,0.7
2025,Robert Jennings II,OKST,F,29,17.7,5.8,1.6,3.5,45.1,0.2,0.8,22.7,2.4,3,81.4,3.6,0.3,0.4,0.3,1.2
2026,Sincere Malone,NICH,F,29,20.3,5.8,2.2,4.5,49.6,0.1,0.4,25,1.2,1.6,75.6,4.2,1.2,1.3,0.2,0.8
2027,Dontrez Williams,ACU,G,29,15.7,5.8,2.1,4.9,44,0.3,1.4,19.5,1.2,2,61.4,2.5,0.5,1.3,0.2,1.2
2028,Quan Lax,APSU,G,32,26.3,5.8,2.1,5.2,39.8,0.6,2,31.7,1,1.2,86.5,2.5,1.8,1,0.3,1.2
2029,Cam Bryant,MER,F,31,25.6,5.7,2.3,5.7,40.3,1.1,3.6,29.2,0.1,0.3,30,2.1,1.1,0.9,0.5,1
2030,Max Murrell,UCSB,F,27,19.6,5.7,2,5.1,39.4,1.3,3.9,32.4,0.5,0.6,86.7,2.1,1,0.4,0.6,0.8
2031,Mawot Mag,BYU,F,27,17.5,5.7,2,4,51.4,0.8,2,40,0.9,1.1,74.2,1.8,0.6,0.6,0.2,0.6
2032,Justin Menard,IONA,G,27,22.4,5.7,1.8,5.3,34,1.3,3.7,34.3,0.9,1,85.2,1.1,2.5,0.7,0.1,0.8
2033,Ben Hammond,VT,G,26,19.5,5.7,1.9,4.5,41.5,0.6,1.3,48.5,1.3,1.8,76.1,1.7,2.2,1.2,0,1.6
2034,Moussa Cisse,MEM,C,29,18.1,5.7,2,3.6,56.7,0,0,0,1.7,3.5,47.1,6,0.4,0.6,1.5,1
2035,Francis Nwaokorie,LUC,F,29,22.6,5.7,1.8,3.8,46.4,0.9,2.1,41,1.3,2,68.4,5.2,0.7,0.6,0.3,0.5
2036,Ansley Almonor,UK,F,29,15.1,5.7,1.8,3.5,51,1.2,2.8,43.2,0.9,1,90,1.7,0.5,0.2,0.1,0.2
2037,Evan Ashe,BING,G,29,21.9,5.7,2.3,5.1,45,0.4,1.6,26.1,0.7,1,66.7,2.5,1.1,0.4,0.6,1.4
2038,Jackson Hicke,PRIN,G,28,17,5.7,2.1,4.6,46.9,0.5,1.4,33.3,1,1.2,81.8,2.8,1,0.6,0.3,0.9
2039,Brayden Reynolds,FDU,G,31,22.4,5.7,1.9,3.7,51.7,0.2,1,16.1,1.7,2.3,73.2,2.5,1.9,0.5,0.2,1.3
2040,Ben VanderWal,FUR,F,31,23.1,5.7,1.9,3.5,53.2,0.1,0.7,19,1.8,3.5,53.3,5.4,1.9,0.6,0.4,0.7
2041,Iverson King,PRES,G,31,19.2,5.7,2,3.6,54,0.3,0.8,41.7,1.5,2,73.8,3.4,0.7,1,0.3,0.8
2042,Isaiah Mbeng,W&M,G,31,19.8,5.7,1.9,4.8,40.3,1,3,32.3,0.9,1.2,71.1,1.7,3.4,1.4,0,1.6
2043,Touko Tainamo,WYO,F,27,15.4,5.7,2.1,5.4,40,0.3,1.5,20,1.1,1.6,69.8,2.7,0.6,0.4,0.2,0.6
2044,Arlandus Keyes,MSM,G,27,17.4,5.7,1.9,5.5,35.1,1.2,3.7,32,0.7,0.9,78.3,2.9,2,1.1,0.1,1.7
2045,Scotty Middleton,HALL,F,26,20.7,5.7,2.1,4.9,43.3,0.9,2.5,36.9,0.5,0.7,77.8,2.3,0.9,0.8,0.5,1.2
2046,KiJan Robinson,HOF,G,29,15.9,5.7,2,5.4,37.3,1.1,3.2,33,0.6,0.7,84.2,1.6,1,0.4,0,0.9
2047,Shadrak Lasu,LIU,F,29,29,5.7,2.1,4,53,0.1,0.3,20,1.4,2.3,60.3,7.1,0.5,0.9,1.3,0.9
2048,Joshua Strong,HOW,G,22,22.2,5.7,1.8,5,36.7,1.5,4,39.1,0.5,0.6,78.6,2,1.7,0.9,0,0.9
2049,Brian Goracke,MTST,F,28,15.9,5.7,1.9,5.4,35.3,1.2,3.5,34.7,0.7,0.8,90.5,2.5,0.6,0.3,0.2,0.7
2050,Ben Nau,STMN,G,31,15.7,5.7,1.7,3.8,45.8,1.4,3.2,44,0.8,0.9,88.9,1.8,1.2,0.5,0.1,0.8
2051,Ryan Dufault,STMN,G,31,14.8,5.7,2.2,4,56.1,0.1,0.2,42.9,1.1,1.6,71.4,2.2,1.6,0.8,0,0.8
2052,Canin Jefferson,UNA,G,31,15.9,5.7,1.9,4.7,39.7,0.8,2.4,32.4,1.2,1.6,72,1.2,1.2,0.8,0.1,0.6
2053,Eugene Brown III,GASO,F,27,23.9,5.7,2,5.7,35.3,1,3.6,28.1,0.7,0.9,72,4,0.8,0.6,0.3,1
2054,R.J. Blakney,ODU,F,30,22.4,5.7,2,5.6,35.3,0.4,2.1,19,1.3,2.2,60.6,4.5,0.9,1,0.5,0.8
2055,Andrija Bukumirovic,UTM,F,24,18.3,5.7,2,4,50,0.5,1.4,32.4,1.2,2.2,55.8,5,0,0.4,0.4,0.7
2056,Isaac Asuma,MINN,G,29,25.1,5.7,2.1,4.6,44.8,0.8,2.2,37.5,0.7,1.1,64.5,2.9,2.1,0.8,0.3,1.3
2057,Dasear Haskins,JOES,G,29,18.2,5.7,2.2,4.4,49.6,0.5,1.8,29.4,0.8,1.2,63.9,3.2,0.7,0.5,0.4,1.1
2058,Doug Young,QUIN,G,26,13.5,5.7,2.1,5.1,40.9,0.8,2.7,29.6,0.7,0.8,81.8,1.3,0.7,0.6,0,1
2059,Lukas Walls,SAM,G,31,21.6,5.6,1.9,4.3,44.4,0.9,2.3,37.5,1,1.4,69.8,3.4,1.4,1.2,0.1,0.7
2060,Isaiah Sy,ORST,F,31,18.2,5.6,1.8,4.4,41.2,1.2,3.5,34.9,0.8,1,80.6,1.8,1,0.3,0.2,0.6
2061,Jaren Johnson,HOW,G,28,22.6,5.6,1.6,3.9,40,0.6,1.8,36,1.9,2.1,88.1,3.6,2.3,0.8,0.2,1.5
2062,Keyontae Lewis,WAG,F,28,21.8,5.6,2.3,4.4,52.5,0.1,0.1,66.7,1,1.5,68.3,5.1,0.4,0.5,0.4,0.8
2063,Michael Teal,SCST,G,28,17.5,5.6,1.9,5.3,36.2,0.6,2.3,26.6,1.2,2,58.9,1.6,2,0.8,0,1.1
2064,Noah Waterman,LOU,F,25,19.2,5.6,2.1,6,34.7,1.1,4.3,25.9,0.4,1,37.5,3.5,0.4,0.2,0.4,0.7
2065,Braxton Jones,USI,G,25,15.7,5.6,1.8,5.6,32.1,0.8,2.7,31.3,1.2,1.5,78.9,1.6,0.5,0.2,0,0.6
2066,Jackson Holcombe,UVU,G,25,14.9,5.6,2.4,4,58.4,0.1,0.3,37.5,0.8,1.8,43.5,3.6,1,0.7,0.8,0.7
2067,Raphael Dumont,UAPB,G,25,16.7,5.6,1.8,4.9,37.4,0.7,2.3,29.8,1.3,2,62.7,3,1.8,0.3,0,1.6
2068,Vice Zanki,EWU,F,30,17.1,5.6,2.1,5.7,37.6,1.2,3.7,33.3,0.1,0.4,36.4,2.4,0.6,0.7,0.3,1
2069,Sean Stewart,OSU,F,27,18.4,5.6,2.4,4.5,52.9,0,0.1,50,0.9,1.6,52.3,5.8,0.7,0.7,0.9,1.1
2070,Tyler Tanner,VAN,G,29,20.6,5.6,2.2,4.9,44.8,0.5,2,24.6,0.7,1,75,2.2,2,1.8,0.1,0.3
2071,Jasir Tremble,FRES,G,29,15.4,5.6,2.1,5.7,36.1,1.2,3.3,37.9,0.2,0.5,50,0.9,0.9,0.9,0,1.1
2072,Theo Seng,TROY,F,26,14.7,5.6,1.9,4.5,43.1,0.9,2.9,30.7,0.9,1.2,74.2,3.2,0.5,0.4,0.4,0.7
