#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
158,Martaz Robinson,DESU,25,32.2,16.4,4.9,12.1,.406,1.0,2.8,.366,5.6,6.6,.842,1.4,5.0,6.4,2.7,1.6,0.1,2.0,2.9
159,Jaland Lowe,PITT,26,35.1,16.4,5.3,13.9,.380,1.3,4.8,.278,4.5,5.2,.874,0.9,3.2,4.0,5.2,1.8,0.2,3.0,2.2
160,Da'Sean Nelson,EMICH,26,30.1,16.4,5.7,11.4,.497,0.3,1.1,.286,4.8,6.3,.767,2.2,3.6,5.8,2.5,1.0,1.2,3.7,2.9
161,Quinton Mincey,UML,28,35.5,16.4,5.9,12.3,.478,1.6,4.3,.383,3.0,3.9,.773,1.1,5.3,6.4,2.8,0.6,0.5,2.4,1.0
162,Ishmael Leggett,PITT,26,35.5,16.4,5.9,12.6,.466,1.4,4.2,.336,3.2,4.0,.806,1.1,4.8,5.8,2.8,1.7,0.4,2.2,2.4
163,Marcus Johnson,BGSU,27,31.4,16.4,5.7,13.2,.430,2.4,6.4,.374,2.6,2.9,.910,1.4,3.6,5.0,1.8,1.0,0.1,2.4,2.2
164,Matthew Cleveland,UMFL,26,29.8,16.3,5.7,11.3,.507,1.1,3.0,.364,3.8,4.8,.786,1.0,3.3,4.3,1.6,0.7,0.7,1.3,1.3
165,Po'Boigh King,NCCU,26,29.7,16.3,5.6,12.8,.440,2.2,6.6,.331,2.9,3.9,.745,1.0,2.0,2.9,1.7,1.3,0.2,1.4,2.0
166,Sami Pissis,NEWHA,27,28.6,16.3,5.2,14.8,.353,2.3,7.7,.304,3.6,4.8,.744,0.4,3.3,3.7,2.8,0.9,0.1,2.3,2.0
167,Devontae Blanton,EKU,29,34.6,16.3,6.7,15.7,.428,0.5,1.9,.273,2.3,3.5,.667,2.2,4.2,6.4,4.7,1.2,0.1,2.2,1.9
168,"Marcus Adams, Jr.",CSUN,27,28.6,16.3,6.4,12.0,.535,2.0,4.9,.402,1.4,2.0,.736,1.7,3.2,4.9,1.4,1.0,0.4,1.7,2.3
169,Nakyel Shelton,EIU,27,34.1,16.3,5.6,13.2,.421,1.6,4.6,.339,3.6,4.4,.824,1.0,3.8,4.8,2.0,1.5,0.7,2.5,2.9
170,Jamar Brown,UMKC,26,32.5,16.3,5.4,12.0,.449,2.3,5.7,.403,3.2,3.5,.902,3.3,4.2,7.5,1.2,1.7,0.3,1.7,2.6
171,Hunter Dickinson,KU,27,29.6,16.3,6.7,12.7,.526,0.3,1.4,.231,2.5,3.3,.756,2.6,7.1,9.7,2.1,1.0,1.4,1.9,2.0
172,Nick Davidson,UNR,27,32.7,16.3,5.5,10.5,.521,1.5,3.7,.400,3.8,5.4,.701,1.8,4.4,6.2,2.9,0.9,1.0,1.9,2.4
173,Brayon Freeman,BTHCK,16,30.9,16.3,5.9,14.1,.422,1.4,4.8,.303,2.9,4.3,.691,0.4,2.6,3.0,2.4,1.3,0.0,2.5,1.9
174,Desmond Claude,USC,25,32.2,16.2,5.4,10.7,.504,0.7,2.0,.347,4.7,6.2,.756,0.5,3.1,3.6,4.2,0.7,0.2,3.4,2.0
175,Caleb Love,ARZ,27,33.6,16.2,5.5,14.5,.380,2.4,7.9,.302,2.8,3.2,.872,0.4,4.0,4.4,3.4,1.3,0.3,2.0,1.1
